tilt,vibration,temperature,humidity,risk
0.46,11,20.8,60.8,LOW
7.4,34,35.0,64.0,MEDIUM
5.49,45,30.2,59.6,MEDIUM
1.54,14,22.9,44.2,LOW
1.03,15,31.5,52.9,LOW
5.24,54,32.5,48.8,MEDIUM
3.92,3,31.4,44.9,LOW
5.62,32,32.5,68.6,MEDIUM
3.83,14,27.5,45.6,LOW
5.23,39,31.0,68.7,MEDIUM
8.85,136,34.7,70.5,HIGH
2.13,19,25.4,40.5,LOW
1.25,8,24.6,50.8,LOW
3.64,12,30.1,62.0,LOW
19.69,141,42.9,82.9,HIGH
3.9,29,33.9,73.1,MEDIUM
3.43,44,36.5,78.7,MEDIUM
4.83,26,32.3,60.7,MEDIUM
3.31,29,36.0,70.4,MEDIUM
1.84,17,21.2,58.0,LOW
4.82,21,37.1,71.6,MEDIUM
2.65,2,28.0,39.9,LOW
2.25,6,26.6,59.1,LOW
5.02,11,26.3,54.5,MEDIUM
10.27,142,40.9,77.3,HIGH
4.07,68,24.1,64.1,MEDIUM
3.89,14,24.4,43.5,LOW
5.16,44,31.0,56.5,MEDIUM
10.52,124,37.9,85.9,HIGH
2.17,0,22.1,36.6,LOW
2.19,19,25.7,51.9,LOW
7.21,46,33.2,77.8,MEDIUM
2.25,30,25.5,62.9,MEDIUM
1.96,10,29.6,39.0,LOW
3.86,31,36.9,79.4,MEDIUM
3.2,14,28.5,36.5,LOW
22.06,101,42.5,80.4,HIGH
1.71,16,24.9,46.2,LOW
3.36,19,29.3,48.3,LOW
2.4,13,20.6,53.0,LOW
1.29,10,26.0,48.2,LOW
2.29,57,25.2,62.5,MEDIUM
4.33,9,23.7,43.9,LOW
3.56,11,26.2,60.8,LOW
3.06,1,24.2,53.7,LOW
4.03,16,24.4,47.2,LOW
1.98,17,29.6,38.2,LOW
13.86,73,38.6,73.6,HIGH
4.36,63,28.9,66.1,MEDIUM
19.95,84,39.1,81.7,HIGH
2.83,43,29.7,45.7,MEDIUM
1.43,10,21.1,64.2,LOW
3.27,5,27.3,40.7,LOW
1.69,7,30.2,51.5,LOW
3.9,60,27.7,63.5,MEDIUM
16.43,109,36.4,69.6,HIGH
2.41,46,32.8,48.0,MEDIUM
2.61,8,24.9,45.7,LOW
4.95,47,36.0,69.8,MEDIUM
6.36,33,31.0,68.8,MEDIUM
1.95,12,24.0,60.1,LOW
2.59,9,28.6,45.5,LOW
6.33,22,33.3,77.6,MEDIUM
3.6,64,31.8,64.0,MEDIUM
14.92,74,33.8,82.0,HIGH
1.44,2,25.1,54.9,LOW
6.69,48,25.3,68.5,MEDIUM
3.41,9,20.8,33.2,LOW
4.02,16,24.6,39.0,LOW
0.86,3,27.7,50.9,LOW
0.47,8,21.7,43.3,LOW
18.11,115,38.4,75.9,HIGH
3.95,5,25.2,44.4,LOW
3.19,11,30.4,60.3,LOW
3.7,44,31.0,45.5,MEDIUM
1.44,23,32.4,52.0,LOW
10.19,147,37.2,89.4,HIGH
4.72,39,29.0,54.1,MEDIUM
4.29,42,31.7,45.4,MEDIUM
7.1,45,32.8,68.4,MEDIUM
2.21,9,25.0,38.2,LOW
5.91,19,33.9,71.1,MEDIUM
0.31,18,21.3,52.1,LOW
5.21,42,33.1,62.2,MEDIUM
18.0,73,32.9,77.3,HIGH
3.3,4,23.6,56.3,LOW
11.26,76,37.1,67.7,HIGH
0.94,9,20.3,41.2,LOW
4.49,28,32.6,74.4,MEDIUM
2.36,8,21.9,54.8,LOW
3.06,60,27.9,47.3,MEDIUM
0.24,22,22.3,46.1,LOW
2.19,13,26.8,51.9,LOW
3.22,15,30.9,61.8,LOW
2.99,0,22.9,60.3,LOW
14.02,98,30.0,61.4,HIGH
5.18,45,32.9,73.8,MEDIUM
3.77,38,34.8,83.5,MEDIUM
18.74,88,34.6,73.4,HIGH
1.24,16,22.4,40.1,LOW
2.2,2,23.5,54.6,LOW
11.54,115,31.6,68.0,HIGH
5.15,39,33.9,80.6,MEDIUM
13.15,125,28.1,80.1,HIGH
12.58,58,39.8,74.6,HIGH
0.59,18,22.5,51.8,LOW
5.91,40,33.3,62.5,MEDIUM
7.53,38,31.7,73.9,MEDIUM
6.18,98,28.9,70.5,HIGH
4.54,53,25.4,59.7,MEDIUM
2.96,7,26.7,54.1,LOW
4.54,55,24.5,69.8,MEDIUM
2.41,5,23.2,62.1,LOW
4.85,20,35.8,70.9,MEDIUM
11.58,117,29.2,75.7,HIGH
2.84,4,27.0,48.7,LOW
4.97,38,38.3,79.2,MEDIUM
4.72,46,26.3,64.4,MEDIUM
5.43,30,34.2,68.5,MEDIUM
6.23,37,35.2,80.3,MEDIUM
2.33,51,30.4,60.8,MEDIUM
5.21,30,38.1,79.7,MEDIUM
2.65,55,26.7,49.8,MEDIUM
19.65,120,39.3,84.1,HIGH
2.43,8,22.6,45.1,LOW
1.77,18,27.1,49.2,LOW
5.18,38,35.6,63.7,MEDIUM
1.46,10,27.2,54.9,LOW
2.49,13,24.7,58.5,LOW
5.25,42,30.3,76.3,MEDIUM
11.77,143,32.4,75.7,HIGH
5.46,40,30.7,63.6,MEDIUM
15.37,89,43.8,90.9,HIGH
0.94,7,29.6,56.2,LOW
10.36,90,34.2,63.0,HIGH
2.4,8,30.7,56.9,LOW
5.39,16,28.6,51.4,MEDIUM
3.87,16,28.9,51.2,LOW
3.19,21,37.6,76.5,MEDIUM
1.78,12,24.8,60.3,LOW
3.4,5,25.3,43.5,LOW
4.96,28,35.6,75.8,MEDIUM
3.71,19,22.5,51.4,LOW
5.74,40,25.2,72.4,MEDIUM
1.36,9,26.9,44.1,LOW
1.57,20,26.0,55.1,LOW
1.85,10,28.4,37.8,LOW
6.25,28,25.3,64.0,MEDIUM
3.02,18,31.5,44.5,LOW
16.23,93,38.9,79.6,HIGH
6.21,26,36.1,78.0,MEDIUM
1.16,3,30.0,41.1,LOW
12.6,94,30.9,89.9,HIGH
2.96,0,23.8,44.7,LOW
5.81,24,33.5,81.3,MEDIUM
15.18,109,41.9,87.4,HIGH
15.51,59,32.5,85.1,HIGH
14.67,64,34.5,75.2,HIGH
1.06,6,20.8,54.4,LOW
14.36,75,28.6,77.2,HIGH
14.14,139,39.7,91.1,HIGH
7.35,124,29.3,62.3,HIGH
4.95,35,38.3,80.3,MEDIUM
3.97,23,30.1,54.2,LOW
6.16,46,31.9,52.2,MEDIUM
1.12,4,19.8,56.1,LOW
3.77,8,26.0,57.2,LOW
2.02,5,21.2,37.7,LOW
6.57,41,33.8,74.4,MEDIUM
2.9,7,23.0,49.9,LOW
1.43,7,26.9,44.9,LOW
6.83,22,28.0,69.1,MEDIUM
4.19,25,29.2,68.3,MEDIUM
5.48,52,35.4,71.9,MEDIUM
7.28,27,30.6,50.9,MEDIUM
4.55,40,35.0,77.0,MEDIUM
5.48,28,28.3,50.6,MEDIUM
18.06,91,32.6,71.7,HIGH
6.78,92,30.1,75.3,HIGH
4.07,30,38.0,73.4,MEDIUM
3.02,14,25.8,43.6,LOW
0.98,9,27.9,44.2,LOW
0.51,11,29.5,46.7,LOW
2.37,39,28.2,59.8,MEDIUM
1.63,0,21.9,45.4,LOW
0.21,16,26.0,59.3,LOW
20.25,103,38.7,82.7,HIGH
3.08,23,26.3,44.0,LOW
12.58,76,31.9,60.4,HIGH
14.86,94,32.4,66.9,HIGH
6.73,50,27.9,64.9,MEDIUM
1.5,15,30.1,42.0,LOW
5.61,23,33.8,76.2,MEDIUM
16.42,71,35.4,91.1,HIGH
7.49,30,29.5,65.1,MEDIUM
5.28,41,29.1,63.2,MEDIUM
5.71,32,37.0,80.9,MEDIUM
2.33,9,22.2,33.7,LOW
6.87,48,30.6,74.2,MEDIUM
2.13,10,24.0,44.4,LOW
5.1,11,28.6,71.7,MEDIUM
4.94,43,35.5,64.6,MEDIUM
19.88,63,40.3,89.4,HIGH
5.19,29,29.5,67.5,MEDIUM
3.01,5,24.3,40.4,LOW
10.04,63,34.0,84.4,HIGH
2.73,56,26.4,51.8,MEDIUM
3.56,31,38.2,70.6,MEDIUM
0.37,12,32.2,62.6,LOW
0.52,7,27.3,34.5,LOW
17.53,127,41.4,90.2,HIGH
1.41,18,25.0,49.1,LOW
11.97,113,35.0,88.3,HIGH
0.74,14,27.7,48.1,LOW
4.15,16,22.5,57.2,LOW
6.98,96,38.9,87.7,HIGH
16.06,148,41.0,90.9,HIGH
6.79,27,29.2,51.9,MEDIUM
2.07,6,20.8,58.8,LOW
23.59,119,43.9,82.4,HIGH
3.85,42,29.1,64.6,MEDIUM
7.23,132,29.3,85.1,HIGH
13.35,91,43.2,89.9,HIGH
4.45,21,28.4,55.6,MEDIUM
3.11,15,29.7,51.9,LOW
4.94,68,32.5,67.3,MEDIUM
3.25,44,38.2,73.4,MEDIUM
7.81,21,33.9,72.2,MEDIUM
3.68,58,32.5,50.9,MEDIUM
3.19,39,34.5,84.2,MEDIUM
5.96,21,36.9,84.2,MEDIUM
2.67,6,21.0,49.4,LOW
0.11,22,26.3,64.9,LOW
2.79,10,28.6,45.2,LOW
7.48,46,32.6,69.8,MEDIUM
3.51,31,34.5,72.4,MEDIUM
5.18,35,32.1,68.8,MEDIUM
2.98,19,22.2,60.2,LOW
24.99,105,41.5,90.0,HIGH
6.36,53,33.4,64.5,MEDIUM
3.59,23,31.0,52.1,LOW
17.21,56,30.7,84.9,HIGH
13.12,98,31.9,73.0,HIGH
5.96,38,30.0,68.5,MEDIUM
22.82,75,34.3,72.1,HIGH
4.6,37,31.1,65.0,MEDIUM
3.94,22,37.5,77.7,MEDIUM
9.2,123,39.5,79.5,HIGH
1.73,15,27.6,50.2,LOW
4.56,27,25.1,62.0,MEDIUM
3.09,14,25.9,57.4,LOW
8.44,34,32.4,70.7,MEDIUM
12.25,85,37.0,78.8,HIGH
0.63,21,26.4,38.8,LOW
12.18,129,38.4,81.9,HIGH
5.42,49,31.5,75.7,MEDIUM
7.18,37,31.5,62.4,MEDIUM
5.16,35,37.1,81.8,MEDIUM
0.58,8,18.8,49.4,LOW
2.51,17,30.4,39.6,LOW
1.25,13,25.2,37.1,LOW
6.05,27,38.5,76.6,MEDIUM
10.19,133,30.9,63.9,HIGH
14.66,58,41.6,75.2,HIGH
2.23,2,21.0,53.6,LOW
1.6,15,25.8,40.9,LOW
3.38,9,22.1,55.5,LOW
2.49,14,28.2,58.3,LOW
6.3,50,29.5,58.5,MEDIUM
5.2,36,37.6,71.2,MEDIUM
6.09,39,32.9,78.7,MEDIUM
13.76,111,37.0,71.5,HIGH
3.4,43,32.2,67.7,MEDIUM
1.2,23,18.9,41.1,LOW
2.86,4,20.5,53.2,LOW
6.95,18,26.4,64.5,MEDIUM
6.51,38,30.4,63.7,MEDIUM
6.61,23,32.4,61.2,MEDIUM
1.36,11,20.9,61.9,LOW
3.4,10,26.2,50.8,LOW
6.44,20,34.4,77.8,MEDIUM
5.44,49,30.1,58.5,MEDIUM
1.81,19,24.0,37.4,LOW
2.61,47,31.4,56.9,MEDIUM
6.69,42,31.1,65.8,MEDIUM
4.25,5,32.0,32.0,LOW
3.23,20,21.2,47.7,LOW
6.97,39,35.5,68.9,MEDIUM
17.65,116,43.6,80.3,HIGH
19.85,135,43.8,85.0,HIGH
4.79,44,32.1,74.4,MEDIUM
5.87,37,34.3,81.7,MEDIUM
4.62,37,35.2,85.0,MEDIUM
3.42,47,32.4,63.1,MEDIUM
4.51,31,32.5,82.5,MEDIUM
5.0,55,27.7,58.5,MEDIUM
6.04,29,32.8,61.2,MEDIUM
12.65,77,28.3,88.6,HIGH
0.76,19,30.5,57.4,LOW
17.42,81,30.1,76.8,HIGH
23.63,145,37.7,94.9,HIGH
7.29,48,32.0,62.2,MEDIUM
1.03,7,25.6,40.7,LOW
1.6,18,27.1,55.9,LOW
14.64,116,34.1,69.6,HIGH
1.57,18,21.8,39.5,LOW
4.89,21,36.4,77.2,MEDIUM
17.25,141,37.6,88.9,HIGH
2.16,18,22.3,49.1,LOW
2.2,5,27.4,43.7,LOW
18.96,75,31.9,78.0,HIGH
4.82,29,37.9,72.0,MEDIUM
6.85,42,33.6,74.9,MEDIUM
3.69,61,25.8,54.3,MEDIUM
3.97,2,28.2,40.8,LOW
2.95,1,23.3,34.9,LOW
2.16,7,23.5,62.8,LOW
0.91,12,21.9,37.4,LOW
5.48,32,37.7,80.7,MEDIUM
2.43,31,27.4,55.8,MEDIUM
2.19,6,22.2,50.7,LOW
1.59,13,22.0,48.4,LOW
5.41,53,33.5,73.7,MEDIUM
2.16,7,32.7,46.1,LOW
1.49,6,21.9,41.3,LOW
4.53,44,37.1,77.5,MEDIUM
4.75,52,29.8,64.2,MEDIUM
3.31,3,28.0,48.1,LOW
11.69,153,28.8,76.1,HIGH
11.98,76,39.3,75.8,HIGH
1.82,3,25.9,53.0,LOW
15.23,100,36.2,81.0,HIGH
12.03,87,34.6,62.1,HIGH
5.04,35,35.2,75.4,MEDIUM
15.8,143,41.4,86.1,HIGH
1.76,22,20.6,43.1,LOW
3.03,27,38.4,81.5,MEDIUM
18.39,85,40.6,94.7,HIGH
1.81,12,26.8,60.0,LOW
3.09,49,26.4,53.9,MEDIUM
2.8,9,21.7,40.3,LOW
4.53,42,37.1,72.0,MEDIUM
5.7,32,30.0,76.1,MEDIUM
3.91,18,20.7,54.7,LOW
2.99,23,28.7,40.2,LOW
2.98,16,26.8,63.2,LOW
2.93,5,28.6,37.6,LOW
4.51,39,24.9,67.0,MEDIUM
4.94,43,24.2,57.1,MEDIUM
17.33,101,35.0,66.5,HIGH
20.83,81,34.8,76.3,HIGH
3.76,21,32.0,78.6,MEDIUM
9.28,92,38.0,83.1,HIGH
1.46,19,25.5,47.8,LOW
1.06,7,25.5,35.9,LOW
6.65,39,33.5,58.4,MEDIUM
3.98,16,24.1,49.1,LOW
1.87,18,23.8,48.2,LOW
5.14,39,25.3,53.2,MEDIUM
1.62,0,23.3,54.8,LOW
5.87,40,33.9,84.3,MEDIUM
10.18,52,33.2,83.4,HIGH
3.96,33,34.9,70.8,MEDIUM
7.23,50,30.0,64.9,MEDIUM
2.92,23,24.1,37.3,LOW
6.09,23,28.9,73.5,MEDIUM
1.81,17,30.0,50.1,LOW
4.69,57,28.1,51.1,MEDIUM
3.44,0,29.2,53.2,LOW
3.83,13,24.4,41.8,LOW
2.85,44,24.3,54.7,MEDIUM
17.09,130,44.9,90.8,HIGH
10.13,52,33.9,90.4,HIGH
2.73,20,28.9,55.9,LOW
2.83,14,27.2,58.3,LOW
4.41,63,30.6,55.2,MEDIUM
5.07,40,37.8,79.9,MEDIUM
4.95,40,26.5,58.4,MEDIUM
5.57,37,32.4,68.6,MEDIUM
0.36,2,21.6,40.6,LOW
4.74,53,30.0,75.5,MEDIUM
2.88,4,27.1,54.0,LOW
4.05,12,29.4,37.1,LOW
0.58,14,26.6,55.1,LOW
3.53,24,26.6,52.0,LOW
5.14,38,34.7,70.4,MEDIUM
4.46,24,35.5,73.6,MEDIUM
1.23,13,25.1,38.7,LOW
11.44,100,30.3,78.3,HIGH
5.5,25,29.9,69.0,MEDIUM
0.59,3,25.1,58.5,LOW
2.94,17,31.1,52.0,LOW
14.46,93,36.3,75.8,HIGH
3.41,18,22.9,35.9,LOW
4.0,44,27.7,64.9,MEDIUM
4.32,40,28.2,55.9,MEDIUM
2.03,13,30.4,50.1,LOW
2.99,13,24.8,58.1,LOW
0.65,15,20.9,62.2,LOW
3.07,19,21.9,44.2,LOW
4.33,24,32.5,84.6,MEDIUM
2.77,12,30.1,34.9,LOW
3.82,53,31.6,59.6,MEDIUM
3.4,3,21.7,46.7,LOW
12.11,90,30.3,77.6,HIGH
0.35,21,28.8,42.7,LOW
7.84,22,28.5,53.2,MEDIUM
12.85,128,38.4,83.1,HIGH
1.9,13,27.0,34.3,LOW
2.64,7,25.9,47.9,LOW
4.38,21,23.3,35.9,LOW
18.8,94,42.0,84.3,HIGH
3.24,14,27.9,57.4,LOW
2.83,4,21.9,54.8,LOW
3.29,55,30.4,69.6,MEDIUM
4.92,40,25.6,74.2,MEDIUM
2.53,18,31.9,59.3,LOW
1.75,3,23.8,54.4,LOW
3.48,3,23.7,52.8,LOW
0.28,21,32.4,46.0,LOW
4.68,20,25.5,66.0,MEDIUM
0.94,17,23.4,57.9,LOW
7.75,34,31.2,50.7,MEDIUM
6.45,32,35.7,66.7,MEDIUM
3.44,7,24.6,54.7,LOW
2.15,14,25.6,57.3,LOW
3.65,14,28.1,37.9,LOW
3.46,22,28.6,40.5,LOW
3.33,7,25.5,41.1,LOW
15.95,103,29.3,71.1,HIGH
6.89,54,35.8,75.5,MEDIUM
2.29,8,24.2,60.8,LOW
2.78,14,22.7,47.3,LOW
5.95,11,28.9,63.4,MEDIUM
10.29,121,33.3,62.4,HIGH
7.28,47,26.9,57.6,MEDIUM
2.47,0,26.3,58.2,LOW
11.69,60,39.4,88.9,HIGH
6.26,122,34.1,81.8,HIGH
11.37,114,36.5,86.1,HIGH
17.54,80,31.7,67.0,HIGH
3.99,29,38.3,78.7,MEDIUM
0.91,24,29.3,48.2,LOW
3.38,10,26.6,57.6,LOW
7.45,50,33.9,74.2,MEDIUM
4.51,51,31.3,64.1,MEDIUM
5.21,41,30.7,67.7,MEDIUM
2.56,2,25.1,59.3,LOW
0.97,16,29.4,64.2,LOW
15.09,127,43.3,80.4,HIGH
3.56,28,34.3,72.8,MEDIUM
12.72,91,41.8,82.6,HIGH
3.31,22,30.8,58.7,LOW
3.89,36,37.8,82.3,MEDIUM
6.75,35,32.6,64.9,MEDIUM
0.63,13,24.0,47.1,LOW
6.35,33,34.5,71.5,MEDIUM
3.48,33,29.5,67.0,MEDIUM
6.28,98,38.2,79.1,HIGH
2.65,19,28.1,34.0,LOW
3.5,16,26.9,42.2,LOW
4.63,34,33.0,63.1,MEDIUM
6.18,43,35.2,78.2,MEDIUM
1.15,21,30.9,51.6,LOW
1.87,13,19.0,41.9,LOW
2.04,8,31.0,48.2,LOW
2.62,14,24.8,65.7,LOW
7.12,53,35.0,67.7,MEDIUM
3.21,3,30.7,35.4,LOW
2.22,11,25.7,61.4,LOW
3.88,13,26.1,56.2,LOW
4.39,48,31.1,66.0,MEDIUM
2.19,15,26.6,57.6,LOW
10.6,100,38.8,74.6,HIGH
2.22,4,27.1,55.7,LOW
3.7,2,20.9,35.9,LOW
2.47,1,21.6,60.5,LOW
4.75,28,38.7,75.1,MEDIUM
6.4,42,30.5,75.2,MEDIUM
5.99,27,33.8,81.0,MEDIUM
21.07,93,40.5,72.9,HIGH
21.13,77,30.1,79.5,HIGH
2.91,17,21.2,42.5,LOW
